Hora;Tensión A (V);Tensión B (V);Tensión C (V);Corriente A (A);Corriente B (A);Corriente C (A);Potencia Total (kW);Energia Acumulada (kWh)
00:00:00;223;225;224;56;58;57;11;57336
00:10:00;224;227;225;47;48;46;9.1;57337
00:20:00;223;225;224;47;48;46;8.8;57339
00:30:00;220;222;221;48;48;47;9;57340
00:40:00;220;222;221;49;48;47;9.3;57342
00:50:00;220;221;220;48;49;48;9;57343
01:00:00;220;221;220;58;58;58;11.2;57344
01:10:00;221;222;221;48;48;47;8.9;57345
01:20:00;220;221;221;48;47;47;9;57347
01:30:00;221;222;221;37;37;37;6.7;57348
01:40:00;221;223;222;36;36;36;6.6;57349
01:50:00;221;222;222;59;59;59;11.3;57350
02:00:00;221;222;221;48;47;47;9;57352
02:10:00;221;223;222;48;48;48;8.9;57353
02:20:00;221;223;222;48;48;48;9;57355
02:30:00;221;223;222;48;48;48;9.2;57356
02:40:00;221;223;222;60;60;60;11.5;57358
02:50:00;221;222;222;61;61;61;11.6;57360
03:00:00;221;222;221;49;49;49;9.3;57361
03:10:00;221;223;222;58;57;58;10.9;57363
03:20:00;221;222;221;58;58;59;11;57365
03:30:00;221;222;221;58;58;59;11.1;57366
03:40:00;221;222;221;50;49;50;9.4;57368
03:50:00;221;222;222;46;45;46;8.4;57370
04:00:00;222;223;222;55;55;56;10.4;57371
04:10:00;222;223;222;46;46;46;8.6;57373
04:20:00;221;222;222;58;58;58;11.1;57375
04:30:00;221;222;221;57;57;58;10.7;57376
04:40:00;220;221;220;51;51;52;9.8;57378
04:50:00;220;221;220;46;46;47;8.7;57379
05:00:00;220;221;220;60;60;60;11.4;57381
05:10:00;219;221;220;60;59;60;11.3;57382
05:20:00;220;222;221;48;47;48;9.1;57384
05:30:00;221;223;222;48;47;48;9.1;57386
05:40:00;221;223;222;60;60;60;11.3;57387
05:50:00;222;223;222;59;59;60;11;57389
06:00:00;222;223;223;48;48;49;8.9;57390
06:10:00;222;223;223;48;48;49;9.1;57392
06:20:00;222;223;223;54;47;48;10.6;57394
06:30:00;222;223;223;65;58;59;12.6;57396
06:40:00;222;223;223;42;35;36;7.9;57397
06:50:00;223;224;224;42;36;36;7.7;57399
07:00:00;222;224;224;42;36;36;7.8;57400
07:10:00;222;224;224;64;59;58;12.7;57402
07:20:00;223;224;224;63;59;57;10.6;57403
07:30:00;224;227;226;41;37;34;7.9;57405
07:40:00;225;227;226;36;38;35;6.7;57406
07:50:00;225;227;226;46;48;46;8.7;57408
08:00:00;226;228;227;36;38;35;6.7;57409
08:10:00;226;229;229;35;36;34;6.5;57410
08:20:00;226;229;228;36;38;36;6.8;57412
08:30:00;224;227;226;45;47;45;8.9;57413
08:40:00;222;225;224;48;49;47;9.3;57415
08:50:00;223;225;224;48;48;46;9.6;57416
09:00:00;223;225;223;47;48;46;9.1;57418
09:10:00;222;225;223;47;47;45;9.5;57420
09:20:00;220;223;222;36;37;35;6.7;57421
09:30:00;221;223;222;37;38;36;7;57422
09:40:00;221;223;222;36;37;35;6.8;57424
09:50:00;222;223;222;36;37;35;6.7;57425
10:00:00;221;223;222;36;37;35;6.8;57426
10:10:00;220;222;221;44;45;43;8.6;57428
10:20:00;220;222;221;21;20;18;4.3;57429
10:30:00;219;221;220;48;49;47;9.4;57430
10:40:00;219;221;220;59;60;59;11.5;57432
10:50:00;219;221;220;46;47;44;9;57433
11:00:00;219;221;220;57;59;57;11.3;57435
11:10:00;220;222;221;20;20;18;4.3;57436
11:20:00;220;223;221;35;37;34;6.8;57438
11:30:00;220;222;221;49;48;46;9.9;57439
11:40:00;220;222;221;41;36;33;8.1;57440
11:50:00;220;222;221;46;41;38;9.2;57442
12:00:00;221;223;222;36;37;35;6.7;57443
12:10:00;220;222;221;56;58;56;10.8;57444
12:20:00;222;224;223;7;7;5;1.6;57445
12:30:00;222;224;223;34;36;33;6.2;57446
12:40:00;221;223;222;47;49;47;9.3;57447
12:50:00;221;223;222;34;37;35;6.5;57449
13:00:00;221;223;222;36;35;34;6.7;57450
13:10:00;219;221;220;45;47;45;8.6;57451
13:20:00;221;222;221;9;9;7;2;57452
