Hora;Energia Extracto (kWh);Energia Caldera (kWh);Energia Limpia (kWh);Energia Malta (kWh)
00:00:00;102939;57336;4452739;4316406
00:10:00;102988;57337;4452774;4316448
00:20:00;103036;57339;4452808;4316484
00:30:00;103084;57340;4452847;4316522
00:40:00;103132;57342;4452889;4316560
00:50:00;103180;57343;4452933;4316596
01:00:00;103229;57344;4452976;4316634
01:10:00;103278;57345;4453017;4316671
01:20:00;103328;57347;4453060;4316708
01:30:00;103379;57348;4453102;4316745
01:40:00;103429;57349;4453146;4316781
01:50:00;103473;57350;4453187;4316818
02:00:00;103517;57352;4453230;4316853
02:10:00;103569;57353;4453272;4316886
02:20:00;103620;57355;4453315;4316919
02:30:00;103671;57356;4453357;4316955
02:40:00;103722;57358;4453399;4316990
02:50:00;103772;57360;4453440;4317027
03:00:00;103822;57361;4453482;4317062
03:10:00;103872;57363;4453524;4317097
03:20:00;103923;57365;4453565;4317132
03:30:00;103973;57366;4453612;4317167
03:40:00;104023;57368;4453658;4317203
03:50:00;104074;57370;4453706;4317241
04:00:00;104124;57371;4453753;4317279
04:10:00;104174;57373;4453801;4317317
04:20:00;104223;57375;4453849;4317354
04:30:00;104275;57376;4453897;4317393
04:40:00;104324;57378;4453943;4317430
04:50:00;104372;57379;4453991;4317468
05:00:00;104421;57381;4454039;4317506
05:10:00;104471;57382;4454086;4317544
05:20:00;104521;57384;4454133;4317582
05:30:00;104570;57386;4454177;4317619
05:40:00;104619;57387;4454218;4317657
05:50:00;104666;57389;4454259;4317693
06:00:00;104715;57390;4454301;4317732
06:10:00;104765;57392;4454342;4317769
06:20:00;104814;57394;4454384;4317804
06:30:00;104865;57396;4454424;4317834
06:40:00;104917;57397;4454465;4317863
06:50:00;104967;57399;4454502;4317892
07:00:00;105015;57400;4454539;4317922
07:10:00;105065;57402;4454577;4317951
07:20:00;105115;57403;4454613;4317981
07:30:00;105163;57405;4454645;4318010
07:40:00;105209;57406;4454677;4318040
07:50:00;105252;57408;4454710;4318069
08:00:00;105296;57409;4454743;4318099
08:10:00;105340;57410;4454776;4318129
08:20:00;105384;57412;4454807;4318159
08:30:00;105427;57413;4454844;4318191
08:40:00;105473;57415;4454885;4318229
08:50:00;105520;57416;4454929;4318266
09:00:00;105567;57418;4454974;4318304
09:10:00;105615;57420;4455016;4318344
09:20:00;105662;57421;4455058;4318384
09:30:00;105708;57422;4455102;4318424
09:40:00;105754;57424;4455146;4318463
09:50:00;105800;57425;4455186;4318503
10:00:00;105845;57426;4455224;4318542
10:10:00;105889;57428;4455262;4318582
10:20:00;105933;57429;4455300;4318618
10:30:00;105973;57430;4455340;4318653
10:40:00;106011;57432;4455379;4318689
10:50:00;106049;57433;4455419;4318724
11:00:00;106089;57435;4455459;4318760
11:10:00;106128;57436;4455497;4318796
11:20:00;106167;57438;4455535;4318830
11:30:00;106206;57439;4455572;4318865
11:40:00;106245;57440;4455609;4318901
11:50:00;106283;57442;4455645;4318936
12:00:00;106321;57443;4455679;4318972
12:10:00;106358;57444;4455710;4319007
12:20:00;106393;57445;4455740;4319043
12:30:00;106428;57446;4455770;4319077
12:40:00;106463;57447;4455800;4319113
12:50:00;106498;57449;4455830;4319148
