Hora;Tensión A (V);Tensión B (V);Tensión C (V);Corriente A (A);Corriente B (A);Corriente C (A);Potencia Total (kW);Energia Acumulada (kWh)
00:00:00;393;393;388;471;477;430;287;102939
00:10:00;394;394;389;426;427;381;261;102988
00:20:00;393;393;388;476;480;433;291;103036
00:30:00;392;392;387;472;474;429;288;103084
00:40:00;392;392;387;486;490;447;296;103132
00:50:00;393;393;388;474;475;432;289;103180
01:00:00;392;393;388;495;501;460;301;103229
01:10:00;391;391;386;506;508;471;304;103278
01:20:00;391;392;387;490;489;455;292;103328
01:30:00;392;392;388;496;493;463;297;103379
01:40:00;392;392;388;523;525;485;314;103429
01:50:00;394;393;389;456;455;421;279;103473
02:00:00;392;393;388;509;505;469;305;103517
02:10:00;392;393;388;517;510;473;309;103569
02:20:00;392;393;388;515;512;477;310;103620
02:30:00;392;392;388;512;514;480;310;103671
02:40:00;393;393;389;515;514;478;310;103722
02:50:00;393;393;389;509;507;469;306;103772
03:00:00;392;392;388;505;509;472;305;103822
03:10:00;393;393;389;506;510;472;308;103872
03:20:00;393;393;389;483;479;447;295;103923
03:30:00;394;394;390;443;439;411;270;103973
03:40:00;393;394;389;501;495;463;304;104023
03:50:00;394;395;390;501;494;457;303;104074
04:00:00;393;394;389;498;493;457;301;104124
04:10:00;393;393;388;513;511;476;311;104174
04:20:00;392;392;388;525;520;486;315;104223
04:30:00;392;393;388;509;504;468;306;104275
04:40:00;392;393;388;483;477;444;293;104324
04:50:00;391;392;387;493;484;453;298;104372
05:00:00;391;392;387;516;508;476;309;104421
05:10:00;392;392;388;463;452;424;277;104471
05:20:00;390;391;387;520;513;481;312;104521
05:30:00;391;392;388;490;489;461;299;104570
05:40:00;391;392;387;480;477;448;292;104619
05:50:00;393;394;389;468;466;435;292;104666
06:00:00;394;394;390;444;441;412;276;104715
06:10:00;392;393;389;495;498;464;309;104765
06:20:00;394;395;390;479;480;446;299;104814
06:30:00;393;394;389;500;505;469;312;104865
06:40:00;393;394;389;464;464;434;291;104917
06:50:00;394;395;390;421;413;385;263;104967
07:00:00;393;394;390;445;442;412;277;105015
07:10:00;391;392;388;521;518;480;322;105065
07:20:00;393;393;389;436;433;401;273;105115
07:30:00;393;393;389;449;433;395;274;105163
07:40:00;394;395;391;415;401;368;257;105209
07:50:00;395;395;391;415;400;370;258;105252
08:00:00;395;395;391;469;447;418;288;105296
08:10:00;397;397;393;422;401;382;262;105340
08:20:00;396;396;392;463;442;431;289;105384
08:30:00;396;396;392;434;416;400;271;105427
