Hora;Tensión A (V);Tensión B (V);Tensión C (V);Corriente A (A);Corriente B (A);Corriente C (A);Potencia Total (kW);Energia Acumulada (kWh)
00:00:00;227;225;225;382;363;372;234;4452739
00:10:00;228;225;225;303;286;301;188;4452774
00:20:00;227;225;225;334;319;326;197;4452808
00:30:00;224;223;222;466;432;445;246;4452847
00:40:00;224;223;222;478;451;457;260;4452889
00:50:00;224;222;222;493;466;467;264;4452933
01:00:00;224;222;222;501;470;477;268;4452976
01:10:00;224;223;222;448;422;432;243;4453017
01:20:00;224;222;222;494;472;475;268;4453060
01:30:00;225;223;223;468;448;449;252;4453102
01:40:00;225;223;223;451;427;433;241;4453146
01:50:00;225;224;223;471;448;453;259;4453187
02:00:00;225;223;223;491;466;470;267;4453230
02:10:00;225;224;223;453;427;438;248;4453272
02:20:00;225;224;223;450;425;434;246;4453315
02:30:00;225;224;224;448;421;431;244;4453357
02:40:00;225;224;224;461;432;449;254;4453399
02:50:00;225;224;223;459;435;439;252;4453440
03:00:00;225;223;223;475;449;452;256;4453482
03:10:00;225;224;223;459;437;438;252;4453524
03:20:00;225;224;223;464;442;453;255;4453565
03:30:00;224;223;223;509;493;488;279;4453612
03:40:00;224;223;223;516;498;494;287;4453658
03:50:00;225;223;223;536;522;513;299;4453706
04:00:00;225;224;223;480;461;461;269;4453753
04:10:00;225;223;223;494;482;478;285;4453801
04:20:00;225;223;223;494;477;484;284;4453849
04:30:00;225;224;223;489;466;472;275;4453897
04:40:00;224;222;222;519;502;496;286;4453943
04:50:00;224;222;222;514;497;494;285;4453991
05:00:00;224;223;222;518;500;501;290;4454039
05:10:00;223;222;222;521;507;511;295;4454086
05:20:00;224;223;222;485;469;476;274;4454133
05:30:00;225;224;223;406;394;395;235;4454177
05:40:00;225;224;223;412;394;399;236;4454218
05:50:00;225;224;224;437;425;418;254;4454259
06:00:00;226;225;224;426;410;413;247;4454301
06:10:00;226;225;224;432;414;411;248;4454342
06:20:00;226;225;224;430;415;419;250;4454384
06:30:00;226;225;224;432;418;420;251;4454424
06:40:00;226;224;224;412;395;402;238;4454465
06:50:00;226;225;225;358;350;362;217;4454502
07:00:00;226;225;224;367;359;370;223;4454539
07:10:00;226;225;224;355;343;362;218;4454577
07:20:00;226;225;224;341;335;353;214;4454613
07:30:00;228;226;226;286;276;303;186;4454645
07:40:00;228;227;226;302;307;310;199;4454677
07:50:00;228;227;226;312;310;329;206;4454710
08:00:00;229;228;227;279;281;302;186;4454743
08:10:00;230;229;228;249;257;287;171;4454776
08:20:00;229;228;227;280;288;307;190;4454807
08:30:00;228;227;226;357;360;379;226;4454844
08:40:00;226;225;224;406;415;418;244;4454885
08:50:00;226;225;225;448;450;463;268;4454929
09:00:00;226;225;224;447;455;463;268;4454974
09:10:00;226;225;224;407;418;432;256;4455016
09:20:00;224;223;222;456;456;469;267;4455058
09:30:00;224;223;222;451;448;463;262;4455102
09:40:00;224;223;223;405;406;406;236;4455146
09:50:00;224;223;223;391;395;392;230;4455186
10:00:00;224;223;222;391;389;398;232;4455224
10:10:00;224;223;222;381;379;390;228;4455262
10:20:00;223;221;221;385;384;384;225;4455300
10:30:00;222;221;221;424;419;428;248;4455340
10:40:00;222;221;220;408;402;410;240;4455379
10:50:00;222;221;220;411;408;420;245;4455419
11:00:00;223;221;221;402;398;406;239;4455459
11:10:00;223;222;221;377;377;386;224;4455497
11:20:00;224;222;222;350;347;359;214;4455535
11:30:00;223;222;222;367;366;371;224;4455572
11:40:00;223;222;222;348;346;362;214;4455609
11:50:00;223;221;221;357;358;366;221;4455645
12:00:00;224;223;222;312;302;321;196;4455679
12:10:00;224;222;222;330;311;314;201;4455710
12:20:00;225;223;223;269;260;266;168;4455740
12:30:00;224;223;223;295;284;289;182;4455770
12:40:00;225;223;223;275;268;268;169;4455800
12:50:00;224;223;222;294;279;295;182;4455830
13:00:00;224;223;222;317;301;318;191;4455861
13:10:00;223;221;221;371;348;363;214;4455893
13:20:00;223;221;221;357;341;344;190;4455926
13:30:00;223;221;221;360;337;342;204;4455961
13:40:00;224;222;222;327;306;309;190;4455993
13:50:00;223;221;221;352;329;339;204;4456020
14:00:00;221;219;219;460;427;438;249;4456067
14:10:00;221;220;220;448;414;427;240;4456082
14:20:00;222;221;220;415;382;387;219;4456148
14:30:00;221;220;219;454;423;437;242;4456188
14:40:00;220;219;219;492;464;465;276;4456203
14:50:00;220;219;219;492;464;465;28;4456203
15:00:01;220;219;219;492;464;465;3;4456203
15:10:00;220;219;219;492;464;465;0;4456203
15:20:00;224;222;222;337;319;324;194;4456390
15:30:00;224;223;223;316;304;312;194;4456420
15:40:00;225;224;223;242;227;243;147;4456451
15:50:00;225;223;223;304;292;301;186;4456481
16:00:00;224;223;223;301;291;300;185;4456510
16:10:00;222;220;220;397;380;391;230;4456546
16:20:00;221;219;219;485;464;464;265;4456586
16:30:00;220;219;219;498;475;473;270;4456629
16:40:00;220;219;219;487;466;470;269;4456672
16:50:00;221;219;220;441;421;425;242;4456714
17:00:00;220;219;219;463;437;445;252;4456756
17:10:00;222;220;220;384;358;368;210;4456795
17:20:00;222;221;221;412;388;400;227;4456833
17:30:00;222;221;221;444;418;423;247;4456872
17:40:00;221;219;219;452;432;445;252;4456913
17:50:00;221;219;219;438;409;426;244;4456952
18:00:00;222;220;220;439;406;411;243;4456993
18:10:00;223;221;221;443;411;413;245;4457033
18:20:01;223;221;221;422;384;393;232;4457073
18:30:00;222;220;221;451;423;427;246;4457113
18:40:00;223;221;221;445;410;426;244;4457153
18:50:00;223;221;221;477;441;452;262;4457195
19:00:00;222;221;221;483;443;454;264;4457238
19:10:00;222;220;221;472;434;449;253;4457281
19:20:00;222;220;220;490;453;467;262;4457326
19:30:00;222;220;220;523;483;497;282;4457369
19:40:00;222;220;221;487;453;463;268;4457414
19:50:00;222;220;220;504;466;481;272;4457457
20:00:00;222;220;221;505;462;470;270;4457502
20:10:00;221;219;220;536;491;513;286;4457546
20:20:00;222;220;220;466;429;448;251;4457593
20:30:00;222;220;220;494;464;476;268;4457636
20:40:00;222;220;221;497;462;469;272;4457681
20:50:00;222;220;221;461;428;443;252;4457726
21:00:00;223;221;221;474;439;459;261;4457769
21:10:00;225;222;223;389;360;382;221;4457810
21:20:00;225;223;223;389;358;381;217;4457847
21:30:00;224;222;223;405;372;392;221;4457883
21:40:00;225;223;223;393;364;381;216;4457920
21:50:00;225;223;224;382;359;374;217;4457956
22:00:00;226;224;224;361;334;353;205;4457992
22:10:00;226;224;224;356;332;351;204;4458026
22:20:00;227;225;225;330;301;321;196;4458060
22:30:00;227;225;225;340;314;335;198;4458092
22:40:00;228;226;226;339;312;342;202;4458125
22:50:00;228;226;226;337;312;348;203;4458159
23:00:00;228;226;226;337;313;334;200;4458193
23:10:00;228;227;226;339;316;341;203;4458226
23:20:00;229;227;227;336;313;334;200;4458259
23:30:00;230;228;228;308;288;305;187;4458291
